番号,商店会,設置場所,業態,〒,住所１,住所２,住所3,住所4,住所5,電話番号,営業時間,定休
1,大倉山エルム通り商店会,ASA大倉山,新聞販売,222-0037,神奈川県,横浜市,港北区,大倉山3-15-19,,045-431-5871,"10:00～18:00
日曜 10:00～17:00",1/2・新聞休刊日
2,大倉山エルム通り商店会,大倉山振興会館（おへそ）,コミュニティスペース,222-0037,神奈川県,横浜市,港北区,大倉山2-5-11,,045-717-6778,10:00～16:00,土曜・日曜・祝日
3,大倉山エルム通り商店会,KENSEI美容室 大倉山店,美容院,222-0037,神奈川県,横浜市,港北区,大倉山3-4-24,,045-543-6264,9:00～19:00,火曜
4,大倉山エルム通り商店会,"パソコン教室 
 
 ディードットステーション
 
 大倉山教室",パソコン教室,222-0037,神奈川県,横浜市,港北区,大倉山2-4-10,,045-542-8450,13:00～19:30,日曜･祝日
5,大倉山エルム通り商店会,（株）福田電気商会 大倉山店,電気店,222-0037,神奈川県,横浜市,港北区,大倉山3-1-22,,045-531-2170,10:00～19:00,水曜
6,大倉山商店街レモンロード,大倉山青柳,和菓子,222-0037,神奈川県,横浜市,港北区,大倉山1-2-8,,045-531-0407,9:00～20:00,第2・3木曜（変更の場合有）
7,大倉山商店街レモンロード,"stylish i:z frisΦr 
 
 スタイリッシュ イーズ フリザー",理容業,222-0037,神奈川県,横浜市,港北区,大倉山1-17-13,ファミーユ第2前川ビル104,045-543-5538,"10:00～19:30
土曜・日曜 9:00～19:30","火曜
 
第1・3月曜（変更の場合有）"
8,大曽根商店街,江田電気商会,家電,222-0003,神奈川県,横浜市,港北区,大曽根1-19-2,,045-531-0417,9:00～20:00,日曜
9,大曽根商店街,（有）ふとんの愛知屋,寝具,222-0003,神奈川県,横浜市,港北区,大曽根1-19-6,,045-543-3100,9:00～19:30,日曜
10,菊名池畔商店街協同組合,石堂書店,書店,222-0011,神奈川県,横浜市,港北区,菊名1-5-9,,045-401-9596,10:00～20:00,第2・4日曜（変更の場合有）
11,菊名東口商栄会,（有）青木商事,管理業,222-0011,神奈川県,横浜市,港北区,菊名4-3-20,,045-431-4912,9:30～18:30,水曜
12,菊名東口商栄会,（有）新井屋ふとん店,ふとん,222-0011,神奈川県,横浜市,港北区,菊名6-2-6,,045-401-9891,10:30～19:00,水曜
13,菊名東口商栄会,協栄ハウジング（株）,不動産,222-0011,神奈川県,横浜市,港北区,菊名6-17-8,,045-433-1747,9:00～18:00,水曜
14,菊名東口商栄会,（有）鈴木商事,不動産,222-0011,神奈川県,横浜市,港北区,菊名6-1-7,,045-432-3121,10:00～18:00,水曜・第3日曜
15,菊名東口商栄会,"ナイス住まいの情報館 
 
 住まいるCafe菊名",不動産,222-0011,神奈川県,横浜市,港北区,菊名6-17-1,,045-421-4210,10:30～18:00,無休
16,菊名東口商栄会,（有）本多時計眼鏡店,時計・めがね,222-0011,神奈川県,横浜市,港北区,菊名4-2-4,,045-401-9581,9:30～20:00,日曜・祝日
17,小机商店街協同組合,（有）阿部家庭電器,家電販売,222-0036,神奈川県,横浜市,港北区,"小机町453-1
 
 リバ-メゾン1F",,045-471-7797,9:00～19:00,水曜
18,小机商店街協同組合,（有）折本屋,和菓子店,222-0036,神奈川県,横浜市,港北区,小机町450-3,,045-471-5151,9:30～20:00,日曜・月曜（不定休）
19,小机商店街協同組合,（株）キューピーキュー,不動産,222-0035,神奈川県,横浜市,港北区,鳥山町1012,,045-471-3535,"10:00～19:00
日曜･祝日 10:00～18:00",水曜
20,小机商店街協同組合,小机商店街（協）事務所,事務所,222-0036,神奈川県,横浜市,港北区,小机町1512,,045-471-8548,10:00～17:00,火曜・木曜・土曜・日曜
21,小机商店街協同組合,（有）田嶋商会,自転車･バイク修理,222-0036,神奈川県,横浜市,港北区,小机町2530,,045-471-9102,10:00～19:00,水曜
22,小机商店街協同組合,宮本輪業,自動車整備,222-0036,神奈川県,横浜市,港北区,小机町2479,,045-471-9149,8:00～18:00,日曜・祝日
23,下田商店連合会,（有）岩崎シャツ,"オーダーシャツ･
 
 オーダースーツ
 
 専門店",223-0064,神奈川県,横浜市,港北区,下田町3-12-5,,045-564-4828,9:00～19:00,木曜
24,下田商店連合会,ハロー・ケアマネジメントステーション,介護・福祉,223-0064,神奈川県,横浜市,港北区,下田町3-12-3,,045-564-0284,9:00～17:30,"土曜・日曜・祝日
 年末年始"
