名称,住所１,住所２,住所3,住所4,住所５,電話番号,通常営業日,時短営業日,休日,備考,時間(通常)Start,時間(通常)end,時間(時短)start,時間(時短)end
港北国際交流ラウンジ,神奈川県,横浜市,港北区,大豆戸町316-1,,045-430-5670,月曜～金曜,土曜・日曜・祝日・８月,"第3月（祝日の場合は翌日休み）
年末年始",,9:00,21:00,9:00,17:00
鶴見川流域センター,神奈川県,横浜市,港北区,小机町2081,,045-475-1998,,,火曜・年末年始,,10:00,17:00,,
大倉山記念館,神奈川県,横浜市,港北区,大倉山2-10-1,,045-544-1881,,,不定期,,9:00,22:00,,
横浜アリーナ,神奈川県,横浜市,港北区,新横浜3-10,,045-474-4000,,,,,,,,
神奈川県立武道館,神奈川県,横浜市,港北区,岸根町725,,045-491-4321,,,月曜（祝日の場合は翌日休み）・年末年始,,9:00,21:00,,
小机スポーツ会館,神奈川県,横浜市,港北区,小机町1800-1,,045-471-0050,月曜～土曜,日曜・祝日,第2月曜（祝日の場合は翌日休み）・年末年始,,9:00,21:00,9:00,17:00
日産スタジアム,神奈川県,横浜市,港北区,小机町3300,,045-477-5000,,,,,,,,
スポーツ医科学センター,神奈川県,横浜市,港北区,小机町3302-5,日産スタジアム内,045-477-5050,日曜～土曜,日曜・祝日,"4月～6月・9月～12月：第3火曜
1月～3月：第3･4火曜
年末年始",7月･8月 無休,9:00,21:00,9:00,17:00
港北スポーツセンター,神奈川県,横浜市,港北区,大豆戸町518-1,,045-544-2636,月曜～金曜,土曜・日曜・祝日,第3月曜,,7:30,21:00,9:00,21:00
障害者スポーツ文化センター横浜ラポール,神奈川県,横浜市,港北区,鳥山町1752,,045-475-2052,月曜～土曜,日曜・祝日,第2火曜・年末年始,,9:30,21:00,9:30,17:00
横浜市総合保健医療センター,神奈川県,横浜市,港北区,鳥山町1735,,045-475-0001,月曜～土曜,,日曜・祝日・年末年始,,8:45,17:30,,
横浜市総合リハビリテーションセンター,神奈川県,横浜市,港北区,鳥山町1770,,045-473-0666,,,,,,,,
老人福祉センター菊名寿楽荘,神奈川県,横浜市,港北区,菊名3-10-20,,045-433-1255,,,第4火曜・年末年始,,9:00,17:00,,
菊名池公園プール,神奈川県,横浜市,港北区,菊名1-8-1,,045-431-6921,7月～9月,,,,,,,
綱島公園プール,神奈川県,横浜市,港北区,綱島台1-1,,045-531-9021,7月～9月,,,,,,,
日産ウォーターパーク,神奈川県,横浜市,港北区,小机町3302-5,,045-477-5040,月曜～土曜,日曜・祝日,"第3火曜（祝日の場合は営業）
1月～3月：第3･4火曜",7月・8月無休,9:00,21:00,9:00,17:00
綱島公園こどもログハウス「モッキー」,神奈川県,横浜市,港北区,綱島台1,,045-547-4556,4月～9月,10月～3月,第3月曜（祝日の場合は翌日休み）・年末年始,,9:00,17:30,9:00,16:30
