番号,施設名,住所,電話番号,開館日,休館日,備考,利用時間,,,,,,,,
1,下田小学校コミュニティスクール市民図書室,下田町4-10-1,045-565-2850,土曜・日曜,,,14:00～16:00,,,,,,,,
2,日吉地区センター図書室,日吉本町1-11-13,045-561-6767,毎日（休館日を除く）,第4月曜（祝日に当たる場合は翌日）・12/28～1/4,,"9:00～20:00
日曜・祝日　9:00～16:00",,,,,,,,
3,矢上小学校市民図書室,日吉3-23-1,045-563-6500,土曜・日曜,第1土曜,学校行事等休館あり,10:00～12:00,,,,,,,,
4,高田東小学校市民図書室,高田東2-33-1,045-542-8777,土曜・日曜,,,13:30～15:30,,,,,,,,
5,親と子のつどいの広場こんぺいとう,日吉本町4-1-55-101,045-628-9510,月曜～金曜,,火曜は時短にて運営,"9:00～16:00
（火曜　9:00～12:00）",,,,,,,,
6,日吉台中学校コミュニティスクール,日吉本町4-9-1,045-565-2840,水曜・日曜,,,14:00～16:30,,,,,,,,
7,日吉南小学校市民図書室,日吉本町4-2-6,,土曜・日曜,,不定期休あり,10:00～12:00,,,,,,,,
8,北綱島小学校市民図書室,綱島西5-14-40,045-542-9248,水曜・日曜,第2日曜・第3水曜,,"水曜　14:00～16:00
日曜　10:30～12:30",,,,,,,,
9,新田中学校市民図書室,新吉田東5-25-1,045-542-0324,水曜・日曜,,,"水曜　14:00～16:00
日曜　10:00～12:00",,,,,,,,
10,綱島地区センター,綱島西1-14-26,045-545-4578,毎日（休館日を除く）,第3月曜（祝日の場合は翌日）・年末年始・文化祭（11月）棚卸,,"9:00～20:30
日曜・祝日　9:00～16:30",,,,,,,,
11,新田地区センター図書コーナー,新吉田町3236,045-591-0777,毎日（休館日を除く）,第2月曜（祝日の場合は翌日）・12/28～1/4,,"9:00～20:30
日曜・祝日　9:00～16:30",,,,,,,,
12,公益財団法人大倉精神文化研究所附属図書館,大倉山2-10-1,045-834-6636,火曜～土曜,祝日・年末年始,,9:30～16:30,,,,,,,,
13,師岡小学校市民図書室,師岡町986,,土曜・日曜,,学校行事による休館あり,"土曜　14:00～16:00
日曜　10:00～12:00",,,,,,,,
14,港北区地域子育て支援拠点どろっぷ,大倉山3-57-3,045-540-7420,火曜～土曜,,,9:30～16:00,,,,,,,,
15,大綱中学校コミュニティハウス図書コーナー,大倉山3-40-2,045-547-2761,土曜・日曜,,,13:00～15:00,,,,,,,,
16,横浜市港北国際交流ラウンジ,大豆戸町316-1,045-430-5670,毎日（休館日を除く）,第4月曜（祝日の場合は翌日）・年末年始,,"9:00～21:00
（８月は　9:00～17:00）
土曜・日曜・祝日　9:00～17:00",,,,,,,,
17,おやこの広場びーのびーの,篠原北1-2-18,045-439-7447,月曜～金曜,,,9:30～16:00,,,,,,,,
18,菊名コミュニティハウス,菊名4-4-1,045-401-4964,毎日（休館日を除く）,"第3月曜（祝日の場合は翌日）・12/29～1/3・3/30,31",,"9:00～20:30
日曜・祝日　9:00～16:30",,,,,,,,
19,（社）神奈川県トラック協会図書資料室,新横浜2-11-1,045-471-5511,月曜～金曜,年末年始・祝日,,10:00～16:00,,,,,,,,
20,城郷小学校市民図書室,鳥山町814,045-471-9202,土曜・日曜・第１・３木曜,,学校行事による休館あり,"土曜・日曜　10:00～12:00
木曜　10:00～11:00",,,,,,,,
21,城郷小机地区センター図書コーナー,小机町2484-4,045-472-1331,毎日（休館日を除く）,第４月曜（祝日の場合は翌日）・12/28～1/4,,"9:00～21:00
日曜・祝日　9:00～17:00",,,,,,,,
22,篠原地区センター図書コーナー,篠原東2-15-27,045-423-9030,毎日（休館日を除く）,第３月曜（祝日の場合は翌日）・12/28～1/4,,"9:00～21:00
日曜・祝日　9:00～17:00",,,,,,,,
23,生活クラブオルタ館オルタ健康ステーション図書コーナー,新横浜2-8-4,045-471-1733,月曜～土曜,オルタ館閉館日,,9:00～18:00,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
