番号,施設名,住所１,住所２,住所3,住所4,住所5,電話番号,設備:オムツ,設備:授乳,,,,,,,,
1,日吉東急アベニュー,神奈川県,横浜市,港北区,日吉2-1-1,,045-560-1511,○,○,,,,,,,,
2,下田小コミュニティハウス,神奈川県,横浜市,港北区,下田町4-10-1,,045-565-2850,○,○,,,,,,,,
3,下田地域ケアプラザ,神奈川県,横浜市,港北区,下田町4-1-1,,045-563-9081,○,○,,,,,,,,
4,日吉地区センター,神奈川県,横浜市,港北区,日吉本町1-11-13,,045-561-6767,○,○,,,,,,,,
5,日吉本町地域ケアプラザ,神奈川県,横浜市,港北区,日吉本町4-10,,045-566-0360,○,×,,,,,,,,
6,こんぺいとう,神奈川県,横浜市,港北区,日吉本町4-1-55-101,A,045-628-9510,○,○,,,,,,,,
7,グローバルキッズ日吉園,神奈川県,横浜市,港北区,日吉1-10-26,,045-562-0321,○,○,,,,,,,,
8,太陽の子日吉保育園,神奈川県,横浜市,港北区,日吉1-21-55,,045-566-6345,○,○,,,,,,,,
9,くっくおさんぽ保育園,神奈川県,横浜市,港北区,日吉6-1-7,,045-566-6777,○,○,,,,,,,,
10,アスク日吉本町開善保育園,神奈川県,横浜市,港北区,日吉本町2-46-11,,045-562-0895,○,○,,,,,,,,
11,南日吉保育園,神奈川県,横浜市,港北区,日吉本町4-10-52,,045-561-6560,○,○,,,,,,,,
12,日吉夢保育園,神奈川県,横浜市,港北区,日吉本町5-74-1,,045-562-4125,○,○,,,,,,,,
13,みのわのぞみ保育園,神奈川県,横浜市,港北区,箕輪町3-7-2,,045-562-1210,○,○,,,,,,,,
14,イトーヨーカドー綱島店,神奈川県,横浜市,港北区,綱島西2-8-1,,045-545-2111,○,○,,,,,,,,
15,綱島地区センター,神奈川県,横浜市,港北区,綱島西1-14-26,,045-545-4578,○,○,,,,,,,,
16,どろっぷサテライト,神奈川県,横浜市,港北区,綱島東3-1-7,,045-633-1078,○,○,,,,,,,,
17,第二尚花愛児園,神奈川県,横浜市,港北区,綱島西1-16-27,,045-542-2004,○,○,,,,,,,,
18,パレット保育園・綱島,神奈川県,横浜市,港北区,綱島西1-2-9,,045-540-0301,○,○,,,,,,,,
19,にじいろ保育園綱島,神奈川県,横浜市,港北区,綱島西3-4-8,,045-717-7241,○,○,,,,,,,,
20,アスクゆめみらい保育園,神奈川県,横浜市,港北区,綱島東4-1-5,,045-540-3030,○,○,,,,,,,,
