市立／私立,地区,地図番号,保育園名,受入年齢,定員（～1歳）,定員（2～5歳）,合計,住所１,住所２,住所3,住所4,住所5,電話,FAX,交通
市立,日吉本町,1,南日吉保育園,６か月～就学前,18,60,78,神奈川県,横浜市,港北区,日吉本町4-10-52,,045-561-6560,045-561-6604,日吉本町駅 徒歩10分/東急バスコンフォール南日吉 徒歩3分
市立,大曽根,3,大曽根保育園,１歳～就学前,10,21,31,神奈川県,横浜市,港北区,大曽根2-5-1,,045-531-0034,045-531-0125,大倉山駅 徒歩10分
市立,大倉山,4,太尾保育園,６か月～就学前,31,100,131,神奈川県,横浜市,港北区,大倉山4-24-7,,045-542-0852,045-542-0856,大倉山駅 徒歩12分
市立,菊名,5,菊名保育園,１歳～就学前,12,66,78,神奈川県,横浜市,港北区,菊名3-10-20,,045-433-1259,045-433-1261,菊名駅 徒歩13分
市立,仲手原,6,港北保育園,６か月～就学前,21,77,98,神奈川県,横浜市,港北区,仲手原2-20-19,,045-421-8575,045-421-8582,妙蓮寺駅 徒歩6分
私立,下田,7,グローバルキッズ下田町園,１歳～就学前,4,36,40,神奈川県,横浜市,港北区,下田町3-16-25,,045-561-2555,045-548-8674,日吉駅 徒歩25分/東急バス新田坂下 徒歩1分
私立,日吉本町,8,アスク日吉本町第二保育園,産休明け～就学前,14,46,60,神奈川県,横浜市,港北区,日吉本町2-46-24,,045-566-6445,045-620-4124,日吉本町駅 徒歩3分
私立,日吉本町,9,アスク日吉本町開善保育園,産休明け～就学前,33,107,140,神奈川県,横浜市,港北区,日吉本町2-46-11,,045-562-0895,045-562-0897,日吉本町駅 徒歩3分
私立,日吉本町,10,ココファン・ナーサリー日吉本町,産休明け～就学前,21,69,90,神奈川県,横浜市,港北区,日吉本町3-23-15,,045-560-2331,045-561-6670,日吉本町駅 徒歩7分
私立,日吉本町,11,横浜りとるぱんぷきんず,産休明け～就学前,18,72,90,神奈川県,横浜市,港北区,日吉本町4-10-49,,045-560-5645,045-562-0620,日吉本町駅 徒歩10分/日吉駅東急バスコンフォール南日吉 徒歩1分
私立,日吉本町,12,日吉夢保育園,産休明け～就学前,31,93,124,神奈川県,横浜市,港北区,日吉本町5-74-1,,045-562-4125,045-562-4134,日吉本町駅 徒歩10分
私立,日吉,13,グローバルキッズ日吉園,産休明け～就学前,19,44,63,神奈川県,横浜市,港北区,日吉1-10-26,,045-562-0321,045-548-3303,日吉駅 徒歩7分
私立,日吉,14,太陽の子 日吉保育園,産休明け～就学前,11,38,49,神奈川県,横浜市,港北区,日吉1-21-55,,045-566-6345,045-566-6346,日吉駅 徒歩11分
私立,日吉,15,日吉みんなの保育園,産休明け～就学前,10,38,48,神奈川県,横浜市,港北区,日吉2-9-6,他,045-561-6041,045-561-6047,日吉駅 徒歩4分
私立,日吉,16,ベネッセ日吉保育園,産休明け～就学前,19,51,70,神奈川県,横浜市,港北区,日吉4-1-1,,045-560-6506,045-560-6507,日吉駅 徒歩1分
私立,日吉,17,日吉こども園,産休明け～就学前,16,44,60,神奈川県,横浜市,港北区,日吉5-11-24,,045-563-7873,045-563-7873,日吉駅 東急バス一本橋 徒歩1分
私立,日吉,18,くっくおさんぽ保育園,産休明け～就学前,20,40,60,神奈川県,横浜市,港北区,日吉6-1-7,,045-566-6777,045-566-6778,日吉駅 東急バス宮前中町 徒歩1分
私立,日吉,19,アスク日吉東保育園,３か月～就学前,21,69,90,神奈川県,横浜市,港北区,日吉7-20-44,,045-566-2226,045-566-2229,日吉駅 東急バス日大高校前 徒歩6分
私立,箕輪町,2,みのわのぞみ保育園,１歳～就学前,9,68,77,神奈川県,横浜市,港北区,箕輪町3-7-2,,045-562-1210,045-562-1247,日吉駅 徒歩12分
私立,箕輪町,20,小学館アカデミーひよし保育園,産休明け～就学前,14,46,60,神奈川県,横浜市,港北区,箕輪町2-2-12,,045-560-1710,045-560-1712,日吉駅 徒歩8分
私立,綱島東,21,アスクゆめみらい保育園,産休明け～就学前,21,69,90,神奈川県,横浜市,港北区,綱島東4-1-5,,045-540-3030,045-540-3223,綱島駅 徒歩12分
私立,綱島東,22,グローバルキッズ綱島園,産休明け～就学前,27,93,120,神奈川県,横浜市,港北区,綱島東4-11-38,,045-545-1717,045-717-9097,綱島駅 徒歩15分
私立,綱島東,23,マイ・ハート綱島東保育園,産休明け～就学前,16,44,60,神奈川県,横浜市,港北区,綱島東3-4-32,,045-642-3700,045-642-3766,綱島駅 徒歩8分
私立,高田東,24,ケンパ高田,産休明け～就学前,16,44,60,神奈川県,横浜市,港北区,高田東4-17-17,,045-540-0400,045-540-0401,高田駅 徒歩3分
私立,高田東,25,パレット保育園・高田,６か月～就学前,15,45,60,神奈川県,横浜市,港北区,高田東4-22-28,,045-544-1149,045-547-1169,高田駅 徒歩2分
私立,高田東,26,あい保育園高田東,産休明け～就学前,21,69,90,神奈川県,横浜市,港北区,高田東4-23-17,,045-859-9302,045-859-9303,高田駅 徒歩3分
私立,高田西,27,たかた保育園,１歳～就学前,8,61,69,神奈川県,横浜市,港北区,高田西4-35-18,,045-592-3251,045-592-3264,高田駅・東山田駅 徒歩15分
私立,新吉田東,28,森のエルマー保育園,産休明け～就学前,20,40,60,神奈川県,横浜市,港北区,新吉田東3-6-33,,045-546-6202,045-546-6202,高田駅 徒歩6分
私立,新吉田東,29,めぐみ保育園,５か月～就学前,20,70,90,神奈川県,横浜市,港北区,新吉田東3-39-15,,045-590-0590,045-591-5505,高田駅 徒歩11分
私立,新吉田東,30,港北コスモス保育園,産休明け～就学前,11,49,60,神奈川県,横浜市,港北区,新吉田東5-78-24,,045-716-8297,045-716-8298,綱島駅 東急バス新田農協前 徒歩0分
私立,新吉田東,31,しんよしだ保育園,産休明け～就学前,30,118,148,神奈川県,横浜市,港北区,新吉田東6-17-3,,045-549-5821,045-549-5826,綱島駅・新羽駅 東急バス町内会館前 徒歩1分
私立,新羽町,32,新羽どろんこ保育園,産休明け～就学前,20,70,90,神奈川県,横浜市,港北区,新羽町2185-1,,045-544-5033,045-544-5034,新羽駅 徒歩6分
私立,新羽町,33,オハナ新羽保育園,産休明け～就学前,32,80,112,神奈川県,横浜市,港北区,新羽町1685-2,2F,045-532-0810,045-533-0838,新羽駅 徒歩1分
