#平成28年9月末現在
区,総数,中国,韓国・朝鮮,フィリピン,ベトナム,ネパール,台湾,ブラジル,米国,インド,タイ,ペルー,インドネシア,英国,スリランカ,ドイツ,フランス,マレーシア,ロシア,カナダ,バングラデシュ,パキスタン,オーストラリア,カンボジア,ミャンマー,モンゴル,イラン,ボリビア,イタリア,ナイジェリア,シンガポール,コロンビア,ルーマニア,トルコ,スペイン,アルゼンチン,ガーナ,メキシコ,オランダ,ウクライナ,ラオス,ウズベキスタン,ニュージーランド,スウェーデン,未確定,ポーランド,スイス,パラグアイ,セネガル,ベルギー,オーストリア,無国籍,ハンガリー,エジプト,アイルランド,ベネズエラ,ノルウェー,南アフリカ共和国,エクアドル,ギリシャ,ジャマイカ,ケニア,キルギス,フィンランド,タンザニア,チリ,チェコ,ポルトガル,モロッコ,サウジアラビア,カメルーン,マリ,コスタリカ,クロアチア,イスラエル,ブルガリア,ベラルーシ,カザフスタン,ジンバブエ,ドミニカ共和国,リトアニア,チュニジア,ヨルダン,コンゴ民主共和国,デンマーク,エルサルバドル,ギニア,トルクメニスタン,ウガンダ,スロベニア,アルジェリア,モザンビーク,モルドバ,シリア,キューバ,ニカラグア,エストニア,スロバキア,ベナン,エチオピア,ルワンダ,ザンビア,コートジボワール,レバノン,マダガスカル,マラウイ,ミクロネシア,トリニダード・トバゴ,タジキスタン,アゼルバイジャン,セルビア,アフガニスタン,コンゴ共和国,グアテマラ,ホンジュラス,ラトビア,ブルキナファソ,ブータン,パナマ,スーダン,ウルグアイ,イエメン,ボスニア・ヘルツェゴビナ,バーレーン,ブルネイ,キプロス,フィジー,ハイチ,イラク,オマーン,モーリシャス,カタール,セントビンセント,トンガ,サモア,ジョージア,パレスチナ,アラブ首長国連邦,ブルンジ,カーボヴェルデ,ドミニカ,ガボン,ガンビア,ガイアナ,アイスランド,クウェート,ルクセンブルク,レソト,モーリタニア,マルタ,マケドニア旧ユーゴスラビア共和国,ナミビア,パラオ,サンマリノ,シエラレオネ,スワジランド,ソロモン,トーゴ,ツバル,グレナダ,アルメニア
鶴見区,11167,4200,1615,1216,603,460,196,1129,106,172,119,405,72,41,16,18,20,41,21,20,66,37,22,9,30,59,35,122,9,15,4,25,2,36,7,44,16,8,4,4,2,6,1,7,9,1,1,23,3,4,1,1,3,1,4,4,0,0,14,0,0,2,4,3,3,1,1,0,1,0,2,0,3,0,0,2,1,0,0,2,1,0,0,1,0,4,1,5,1,2,2,0,0,0,1,0,0,0,0,0,4,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川区,5861,2403,1067,414,331,436,146,75,147,67,82,29,51,49,45,24,29,30,28,27,29,13,25,10,27,28,8,12,16,14,16,6,3,16,8,5,16,5,5,10,2,9,8,4,5,3,3,4,2,1,1,1,2,1,0,3,0,3,0,0,3,3,4,4,0,4,0,1,0,4,3,1,2,2,0,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,2,0,0,7,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
西区,3923,1527,639,213,207,417,110,27,106,50,68,29,46,59,46,37,21,15,16,22,4,2,27,0,20,9,6,0,12,3,7,6,12,2,12,2,6,20,11,5,1,7,7,10,3,4,1,0,2,5,4,0,2,7,2,8,0,2,2,0,0,1,7,0,0,0,0,1,1,3,0,1,0,1,3,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
中区,15842,8900,2230,696,353,166,725,101,556,268,314,42,44,210,49,65,179,76,76,104,6,36,74,21,28,12,13,0,29,5,23,12,38,7,38,4,5,20,49,21,0,8,19,18,7,3,13,4,2,21,7,15,8,1,12,3,10,13,0,8,3,3,1,1,0,3,1,8,4,4,1,0,0,10,0,1,3,0,1,0,1,2,1,0,1,0,0,0,3,0,0,0,2,0,1,0,0,3,0,0,0,0,1,2,0,0,0,1,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
南区,8776,4378,1559,988,325,122,312,30,131,52,209,57,54,34,37,6,15,35,58,24,26,11,16,7,16,24,11,2,7,15,5,15,24,5,1,7,2,9,1,11,1,0,3,4,7,1,2,4,9,3,3,9,1,8,3,5,0,1,0,3,3,1,2,3,0,3,8,1,1,3,3,0,0,0,0,1,2,0,2,1,2,0,0,1,1,0,1,0,2,0,0,2,0,0,0,3,0,0,0,1,0,2,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
港南区,2214,819,540,251,109,42,49,33,67,21,62,12,26,19,4,7,7,14,23,9,3,3,6,4,2,1,3,1,0,6,3,3,1,4,6,0,3,4,1,2,1,1,3,0,2,5,0,1,0,1,2,0,2,2,1,1,0,1,0,1,4,1,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
保土ケ谷区,4725,1987,746,374,213,284,106,42,75,208,76,14,62,28,66,7,17,56,26,13,44,21,18,10,35,15,11,1,5,13,5,13,6,5,2,1,4,1,3,4,8,10,4,10,4,4,0,1,2,2,3,1,2,0,0,0,4,1,1,0,0,4,1,1,3,0,1,3,1,0,1,7,0,0,0,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,2,0,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旭区,2445,798,454,289,171,88,51,22,56,15,61,20,36,23,42,4,16,10,13,10,5,42,6,53,3,15,14,2,7,16,12,5,4,4,2,2,10,4,0,3,8,0,5,0,3,2,0,0,0,1,0,0,2,1,0,1,1,0,2,0,3,0,0,0,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
磯子区,3937,1933,568,396,90,77,111,213,84,62,56,83,14,21,30,6,8,7,12,14,11,2,12,2,11,4,4,5,4,2,7,13,4,6,0,1,5,3,1,8,1,1,1,0,5,5,2,1,1,1,0,3,1,0,0,0,0,1,1,4,0,0,0,0,2,0,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金沢区,2674,621,383,462,159,65,59,113,97,36,41,303,48,21,5,6,12,18,14,15,14,9,7,3,7,25,8,13,6,6,2,4,2,4,4,13,5,3,0,8,0,3,2,2,1,2,4,2,0,1,1,0,0,0,1,0,0,0,0,1,3,0,0,1,2,1,0,2,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,4,1,3,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
港北区,5815,1691,1129,521,219,227,211,108,252,87,109,33,76,83,126,72,119,51,34,53,73,40,46,3,33,24,26,1,29,14,17,7,11,19,24,6,17,9,21,10,4,1,9,11,5,11,15,8,6,8,4,1,0,1,4,1,7,2,2,4,0,2,0,0,1,1,3,2,4,1,1,1,5,0,1,4,1,2,1,0,3,3,1,1,2,0,2,2,1,7,1,0,1,1,2,0,0,0,1,1,1,2,0,1,0,0,1,2,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
緑区,3155,944,377,347,108,18,52,178,56,553,58,43,98,18,21,20,4,15,25,15,28,27,10,1,11,4,8,3,8,5,6,6,6,1,1,6,3,6,1,0,4,0,4,4,1,0,2,1,8,0,1,0,1,4,0,0,2,1,0,1,0,2,1,2,0,1,1,0,2,0,4,0,0,0,1,0,2,0,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
青葉区,3582,1050,606,230,178,25,106,60,222,124,82,37,120,72,18,81,52,26,35,41,33,11,34,1,36,16,41,1,20,5,12,7,11,10,9,2,7,11,6,8,2,3,11,6,2,13,6,0,21,0,5,2,3,1,1,1,3,2,3,2,0,2,0,9,0,2,2,0,1,0,1,0,2,1,1,0,1,5,0,2,0,2,1,0,0,0,3,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
