年月日,全国地方公共団体コード,市区名,町名,年齢［歳］,人口総数［人］,男［人］,女［人］
2016/9/30,141097,港北区,－,合計,341098,170342,170756
2016/9/30,141097,港北区,－,0,3481,1774,1707
2016/9/30,141097,港北区,－,1,3409,1750,1659
2016/9/30,141097,港北区,－,2,3276,1684,1592
2016/9/30,141097,港北区,－,3,3087,1547,1540
2016/9/30,141097,港北区,－,4,2980,1522,1458
2016/9/30,141097,港北区,－,5,3004,1581,1423
2016/9/30,141097,港北区,－,6,2809,1460,1349
2016/9/30,141097,港北区,－,7,2722,1294,1428
2016/9/30,141097,港北区,－,8,2784,1443,1341
2016/9/30,141097,港北区,－,9,2733,1430,1303
2016/9/30,141097,港北区,－,10,2646,1351,1295
2016/9/30,141097,港北区,－,11,2585,1293,1292
2016/9/30,141097,港北区,－,12,2693,1384,1309
2016/9/30,141097,港北区,－,13,2703,1337,1366
2016/9/30,141097,港北区,－,14,2802,1440,1362
2016/9/30,141097,港北区,－,15,2741,1451,1290
2016/9/30,141097,港北区,－,16,2847,1412,1435
2016/9/30,141097,港北区,－,17,2821,1412,1409
2016/9/30,141097,港北区,－,18,2998,1496,1502
2016/9/30,141097,港北区,－,19,2981,1507,1474
2016/9/30,141097,港北区,－,20,3232,1674,1558
2016/9/30,141097,港北区,－,21,3449,1787,1662
2016/9/30,141097,港北区,－,22,3770,1931,1839
2016/9/30,141097,港北区,－,23,4017,2016,2001
2016/9/30,141097,港北区,－,24,4181,2079,2102
2016/9/30,141097,港北区,－,25,4183,2175,2008
2016/9/30,141097,港北区,－,26,4522,2268,2254
2016/9/30,141097,港北区,－,27,4667,2301,2366
2016/9/30,141097,港北区,－,28,4890,2466,2424
2016/9/30,141097,港北区,－,29,5030,2579,2451
2016/9/30,141097,港北区,－,30,5224,2659,2565
2016/9/30,141097,港北区,－,31,5484,2763,2721
2016/9/30,141097,港北区,－,32,5467,2864,2603
2016/9/30,141097,港北区,－,33,5485,2858,2627
2016/9/30,141097,港北区,－,34,5485,2873,2612
2016/9/30,141097,港北区,－,35,5443,2816,2627
2016/9/30,141097,港北区,－,36,5553,2904,2649
2016/9/30,141097,港北区,－,37,5625,2889,2736
2016/9/30,141097,港北区,－,38,5707,2962,2745
2016/9/30,141097,港北区,－,39,5727,2960,2767
2016/9/30,141097,港北区,－,40,5969,3050,2919
2016/9/30,141097,港北区,－,41,5947,3075,2872
2016/9/30,141097,港北区,－,42,6282,3221,3061
2016/9/30,141097,港北区,－,43,6192,3218,2974
2016/9/30,141097,港北区,－,44,6162,3148,3014
2016/9/30,141097,港北区,－,45,6228,3142,3086
2016/9/30,141097,港北区,－,46,6111,3174,2937
2016/9/30,141097,港北区,－,47,6094,3153,2941
2016/9/30,141097,港北区,－,48,5907,3132,2775
2016/9/30,141097,港北区,－,49,5822,3066,2756
2016/9/30,141097,港北区,－,50,4514,2373,2141
2016/9/30,141097,港北区,－,51,5414,2866,2548
2016/9/30,141097,港北区,－,52,4891,2537,2354
2016/9/30,141097,港北区,－,53,4635,2433,2202
2016/9/30,141097,港北区,－,54,4380,2315,2065
2016/9/30,141097,港北区,－,55,4149,2126,2023
2016/9/30,141097,港北区,－,56,3959,2050,1909
2016/9/30,141097,港北区,－,57,3746,1940,1806
2016/9/30,141097,港北区,－,58,3633,1837,1796
2016/9/30,141097,港北区,－,59,3249,1677,1572
2016/9/30,141097,港北区,－,60,3336,1669,1667
2016/9/30,141097,港北区,－,61,3363,1750,1613
2016/9/30,141097,港北区,－,62,3208,1612,1596
2016/9/30,141097,港北区,－,63,3312,1692,1620
