#第14表移動前・移動後住所地（都道府県）、男女別転入転出者数－港北区
#平成27年中
移動前後住所地,移動前住所地別転入者数（総数）,移動前住所地別転入者数（男）,移動前住所地別転入者数（女）,移動後住所地別転出者数（総数）,移動後住所地別転出者数（男）,移動後住所地別転出者数（女）,転入超過数（総数）,転入超過数（男）,転入超過数（女）
北海道,299,150,149,300,170,130,-1,-20,19
青森県,98,51,47,72,29,43,26,22,4
岩手県,94,50,44,70,46,24,24,4,20
宮城県,267,133,134,195,125,70,72,8,64
秋田県,69,31,38,30,15,15,39,16,23
山形県,61,26,35,61,35,26,0,-9,9
福島県,155,96,59,110,73,37,45,23,22
茨城県,264,146,118,231,141,90,33,5,28
栃木県,168,95,73,132,77,55,36,18,18
群馬県,134,79,55,125,73,52,9,6,3
埼玉県,828,431,397,856,485,371,-28,-54,26
千葉県,760,413,347,874,475,399,-114,-62,-52
東京都,5016,2556,2460,5312,2817,2495,-296,-261,-35
神奈川県,9325,4804,4521,10227,5240,4987,-902,-436,-466
新潟県,178,88,90,100,53,47,78,35,43
富山県,50,27,23,52,24,28,-2,3,-5
石川県,63,34,29,80,43,37,-17,-9,-8
福井県,30,15,15,21,11,10,9,4,5
山梨県,106,58,48,80,43,37,26,15,11
長野県,202,106,96,153,83,70,49,23,26
岐阜県,80,47,33,47,25,22,33,22,11
静岡県,514,269,245,361,208,153,153,61,92
愛知県,630,368,262,465,296,169,165,72,93
三重県,93,54,39,65,37,28,28,17,11
滋賀県,72,40,32,42,21,21,30,19,11
京都府,179,101,78,139,83,56,40,18,22
大阪府,637,380,257,546,332,214,91,48,43
兵庫県,398,211,187,307,184,123,91,27,64
奈良県,67,35,32,48,27,21,19,8,11
和歌山県,25,15,10,12,9,3,13,6,7
鳥取県,22,12,10,15,8,7,7,4,3
島根県,21,15,6,15,9,6,6,6,0
岡山県,77,37,40,63,38,25,14,-1,15
広島県,213,133,80,174,107,67,39,26,13
山口県,86,48,38,45,25,20,41,23,18
徳島県,25,10,15,36,17,19,-11,-7,-4
香川県,53,31,22,42,25,17,11,6,5
愛媛県,55,32,23,51,25,26,4,7,-3
高知県,17,11,6,23,15,8,-6,-4,-2
福岡県,394,222,172,308,173,135,86,49,37
佐賀県,27,12,15,22,16,6,5,-4,9
長崎県,52,28,24,60,35,25,-8,-7,-1
熊本県,79,31,48,68,41,27,11,-10,21
大分県,52,24,28,42,24,18,10,0,10
宮崎県,48,25,23,36,22,14,12,3,9
鹿児島県,77,40,37,54,32,22,23,8,15
沖縄県,118,64,54,79,45,34,39,19,20
国外,1911,1086,825,1495,811,684,416,275,141
地域不詳,53,46,7,0,0,0,53,46,7
総数,24242,12816,11426,23741,12748,10993,501,68,433
