#T020100　【～第95回横浜市統計書】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第2章　人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第1表　行政区別世帯数及び人口の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#資料：政策局総務部統計情報課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#本表は、第1回からの国勢調査結果及び平成元年からの推計人口（国勢調査による人口を基礎とし、これに毎月の住民基本台帳法及び戸籍法の定める届出等の増減を加減して推計した人口）です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#各年10月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯数,大正9年,大正14年,昭和5年,昭和10年,昭和15年,昭和22年,昭和25年,昭和30年,昭和35年,昭和40年,昭和45年,昭和50年,昭和55年,昭和60年,平成2年,平成4年,平成5年,平成6年,平成7年,平成8年,平成9年,平成10年,平成11年,平成12年,平成13年,平成14年,平成15年,平成16年,平成17年,平成18年,平成19年,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年
鶴見区,,,17581,23357,33849,30799,38100,45118,57605,69830,74739,76590,83203,87982,98174,101891,102328,102746,103934,104558,105521,106792,107827,108975,110511,112694,114457,116918,116702,118284,120107,122023,123132,124177,125678,126789,129024,130610,132814
神奈川区,,,28668,32024,34843,19035,24077,32754,45114,55727,63249,69823,73184,74961,83152,85812,86599,87182,88828,89957,90829,92211,93531,95562,98107,100360,102644,104505,104339,104871,107823,109958,111558,113613,113835,114722,115750,117144,119397
西区,,,,,,15009,19961,23442,26996,29405,29760,29203,28855,29478,31345,32055,32412,32767,33216,33293,34164,35210,35882,36661,37784,38679,40103,41446,41838,42471,44255,46738,47765,49076,49464,50462,50789,51263,51878
中区,,,73167,75372,84221,17770,21389,24692,32991,37289,42146,46062,46784,48059,50991,51469,50988,49645,54331,55003,55860,57658,59068,60847,63234,65713,68201,71190,70515,71583,73124,74176,76481,75700,76132,76673,76919,77418,78869
南区,,,,,,27396,32117,39295,49354,68624,58150,64383,66131,68461,75171,77061,78185,78727,79295,80114,81758,83147,84468,85229,86794,88369,89824,91031,88208,89271,89823,90988,92213,92352,92748,93300,93609,94285,95528
港南区,,,,,,,,,,,28395,43627,57133,65784,74731,77039,77677,78095,78838,79603,80759,82070,82993,83375,84501,85843,86925,88209,85377,86436,87666,88721,89475,90108,90307,90272,90497,90671,91007
保土ケ谷区,,,8752,9578,12419,13520,15685,21107,34765,58589,47393,53485,58980,62333,71385,73066,74471,75291,75360,75948,77296,78500,79984,81313,82870,84673,85628,86064,85186,86335,87818,89190,90195,90076,90377,90732,91062,91753,92775
旭区,,,,,,,,,,,44057,56620,64792,73961,83415,86946,88507,89222,89096,89609,91223,92722,94347,94636,96054,97891,99339,99825,96332,97314,98051,99107,100389,100980,101697,102101,102426,102794,102728
磯子区,,,7761,8214,15908,24650,14515,15881,18414,24948,32039,46209,52548,56210,62249,63881,64223,64603,64844,65397,66061,66725,66915,66593,67211,67942,68437,68486,68146,68871,70502,71026,71565,71169,71211,71393,71585,72661,74552
金沢区,,,,,,,12783,14266,17544,23063,31310,40898,50388,57212,67428,70428,71573,72576,72929,73898,75128,75733,76626,77301,78853,80083,80917,82568,83852,85482,85945,86439,86970,86773,86987,87347,87384,87797,86891
港北区,,,,,10021,17275,18486,22840,34985,62718,67968,82969,96477,104283,120022,127777,131288,135297,118460,120464,122336,125548,127613,129766,132370,135207,138053,140209,140919,144290,147923,150259,152148,154733,156186,157400,159928,161906,163519
緑区,,,,,,,,,,,37432,64289,93318,123757,150359,158018,161780,164189,52469,53337,54211,55553,57417,59314,61068,63795,65509,66501,65900,67404,68802,70229,71101,71204,71662,72419,72985,73609,74498
青葉区,,,,,,,,,,,,,,,,,,,92284,93219,95303,97931,100138,102135,105863,108636,110737,112675,113308,115504,117233,118401,120280,120378,121702,122839,123584,124716,125344
都筑区,,,,,,,,,,,,,,,,,,,39985,42932,45642,49361,52342,55270,57965,60072,61843,63542,65493,67662,69462,72817,74989,74983,76377,77973,79123,79732,80402
