#第15表　町別、産業大分類別事業所数及び従業者数 - 港北区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
町名,ふりがな,事業所数 総数　3）,従業者数　総数　1）3),従業者数（男）,従業者数（女）,Ａ農業，林業（事業所数）,Ａ農業，林業従業者数　総数　1）,Ａ農業，林業従業者数（男）,Ａ農業，林業従業者数（女）,Ｂ漁業（事業所数）,Ｂ漁業従業者数　総数　1）,Ｂ漁業従業者数（男）,Ｂ漁業従業者数（女）,Ｃ鉱業，採石業，砂利採取業（事業所数）,Ｃ鉱業，採石業，砂利採取業従業者数　総数　1）,Ｃ鉱業，採石業，砂利採取業従業者数（男）,Ｃ鉱業，採石業，砂利採取業従業者数（女）,Ｄ建設業（事業所数）,Ｄ建設業従業者数　総数　1）,Ｄ建設業従業者数（男）,Ｄ建設業従業者数（女）,Ｅ製造業（事業所数）,Ｅ製造業従業者数　総数　1）,Ｅ製造業従業者数（男）,Ｅ製造業従業者数（女）,Ｆ電気・ガス・　　熱供給・水道業（事業所数）,Ｆ電気・ガス・　　熱供給・水道業従業者数　総数　1）,Ｆ電気・ガス・　　熱供給・水道業従業者数（男）,Ｆ電気・ガス・　　熱供給・水道業従業者数（女）,Ｇ情報通信業（事業所数）,Ｇ情報通信業従業者数　総数　1）,Ｇ情報通信業従業者数（男）,Ｇ情報通信業従業者数（女）,Ｈ運輸業，郵便業（事業所数）,Ｈ運輸業，郵便業従業者数　総数　1）,Ｈ運輸業，郵便業従業者数（男）,Ｈ運輸業，郵便業従業者数（女）,Ｉ卸売業，小売業（事業所数）,Ｉ卸売業，小売業従業者数　総数　1）,Ｉ卸売業，小売業従業者数（男）,Ｉ卸売業，小売業従業者数（女）,Ｊ金融業，保険業（事業所数）,Ｊ金融業，保険業従業者数　総数　1）,Ｊ金融業，保険業従業者数（男）,Ｊ金融業，保険業従業者数（女）,Ｋ不動産業，物品賃貸業（事業所数）,Ｋ不動産業，物品賃貸業従業者数　総数　1）,Ｋ不動産業，物品賃貸業従業者数（男）,Ｋ不動産業，物品賃貸業従業者数（女）,Ｌ学術研究，専門・技術サービス業（事業所数）,Ｌ学術研究，専門・技術サービス業従業者数　総数　1）,Ｌ学術研究，専門・技術サービス業従業者数（男）,Ｌ学術研究，専門・技術サービス業従業者数（女）,Ｍ宿泊業，飲食サービス業（事業所数）,Ｍ宿泊業，飲食サービス業従業者数　総数　1）),Ｍ宿泊業，飲食サービス業従業者数（男）,Ｍ宿泊業，飲食サービス業従業者数（女）,Ｎ生活関連サービス業，娯楽業（事業所数）,Ｎ生活関連サービス業，娯楽業従業者数　総数　1）,Ｎ生活関連サービス業，娯楽業従業者数（男）,Ｎ生活関連サービス業，娯楽業従業者数（女）,Ｏ教育，学習支援業（事業所数）,Ｏ教育，学習支援業従業者数　総数　1）,Ｏ教育，学習支援業従業者数（男）,Ｏ教育，学習支援業従業者数（女）,Ｐ医療，福祉（事業所数）,Ｐ医療，福祉従業者数　総数　1）,Ｐ医療，福祉従業者数（男）,Ｐ医療，福祉従業者数（女）,Ｑ複合サービス事業（事業所数）,Ｑ複合サービス事業従業者数　総数　1）,Ｑ複合サービス事業従業者数（男）,Ｑ複合サービス事業従業者数（女）,Ｒサービス業(他に分類されないもの)（事業所数）,Ｒサービス業(他に分類されないもの)従業者数　総数　1）,Ｒサービス業(他に分類されないもの)従業者数（男）,Ｒサービス業(他に分類されないもの)従業者数（女）
大倉山一丁目,おおくらやま1ちようめ,194,1604,626,978,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,1,3,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,52,459,184,275,4,64,25,39,28,108,57,51,4,9,5,4,31,319,112,207,22,181,89,92,12,110,61,49,30,301,50,251,1,10,6,4,4,21,18,3
大倉山二丁目,おおくらやま2ちようめ,97,436,169,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,3,0,23,91,34,57,0,0,0,0,33,96,54,42,4,23,10,13,10,55,25,30,9,36,11,25,3,26,5,21,8,92,18,74,0,0,0,0,5,13,8,5
大倉山三丁目,おおくらやま3ちようめ,178,1112,457,626,0,0,0,0,0,0,0,0,0,0,0,0,5,42,35,7,5,108,72,36,0,0,0,0,2,4,2,2,0,0,0,0,38,201,63,138,0,0,0,0,17,49,29,20,6,16,7,9,37,190,97,64,24,160,72,88,6,47,15,32,34,287,59,228,0,0,0,0,4,8,6,2
大倉山四丁目,おおくらやま4ちようめ,43,280,131,149,1,1,1,0,0,0,0,0,0,0,0,0,2,4,3,1,5,25,22,3,0,0,0,0,1,1,1,0,1,21,21,0,10,130,61,69,0,0,0,0,6,18,6,12,3,5,2,3,2,2,1,1,2,2,2,0,1,3,1,2,6,54,5,49,1,7,2,5,2,7,3,4
大倉山五丁目,おおくらやま5ちようめ,67,291,145,146,0,0,0,0,0,0,0,0,0,0,0,0,5,21,18,3,7,32,23,9,0,0,0,0,1,1,1,0,0,0,0,0,17,110,50,60,1,13,9,4,11,26,18,8,4,6,3,3,8,27,9,18,10,24,11,13,1,3,1,2,2,28,2,26,0,0,0,0,0,0,0,0
大倉山六丁目,おおくらやま6ちようめ,36,179,121,58,1,3,2,1,0,0,0,0,0,0,0,0,6,48,38,10,3,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,50,41,9,0,0,0,0,14,53,31,22,0,0,0,0,3,10,1,9,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
大倉山七丁目,おおくらやま7ちようめ,33,148,76,72,0,0,0,0,0,0,0,0,0,0,0,0,5,36,33,3,5,30,14,16,0,0,0,0,1,3,2,1,0,0,0,0,4,12,5,7,0,0,0,0,4,11,5,6,1,1,1,0,5,16,6,10,2,4,3,1,1,1,0,1,4,28,4,24,1,6,3,3,0,0,0,0
大曽根一丁目,おおそね1ちようめ,94,328,143,185,0,0,0,0,0,0,0,0,0,0,0,0,7,17,14,3,1,3,1,2,0,0,0,0,0,0,0,0,1,3,2,1,32,103,52,51,0,0,0,0,11,29,15,14,5,20,15,5,8,24,11,13,15,44,16,28,1,12,2,10,11,69,13,56,0,0,0,0,2,4,2,2
大曽根二丁目,おおそね2ちようめ,41,278,119,159,0,0,0,0,0,0,0,0,0,0,0,0,3,21,16,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,53,21,32,0,0,0,0,7,10,6,4,2,4,2,2,2,15,3,12,4,5,0,5,4,86,53,33,6,71,10,61,0,0,0,0,2,11,7,4
大曽根三丁目,おおそね3ちようめ,29,111,61,50,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,6,1,24,17,7,0,0,0,0,2,3,2,1,0,0,0,0,8,46,24,22,0,0,0,0,5,9,4,5,3,6,3,3,2,4,2,2,4,6,3,3,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
大曽根台,おおそねだい,40,138,73,65,0,0,0,0,0,0,0,0,0,0,0,0,4,15,10,5,3,17,12,5,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,3,2,3,1,2,16,47,22,25,2,17,4,13,1,2,1,1,3,10,6,4,1,8,8,0,1,2,0,2,0,0,0,0,2,9,4,5
菊名一丁目,きくな1ちようめ,134,877,368,509,0,0,0,0,0,0,0,0,0,0,0,0,3,17,9,8,1,2,1,1,0,0,0,0,1,1,1,0,1,16,14,2,61,459,202,257,2,14,2,12,7,27,16,11,3,23,8,15,22,105,42,63,15,64,30,34,6,31,18,13,9,79,15,64,1,9,2,7,2,30,8,22
菊名二丁目,きくな2ちようめ,32,297,126,171,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,0,0,0,0,0,0,0,0,1,18,18,0,0,0,0,0,2,118,40,78,1,2,0,2,4,8,7,1,6,14,10,4,5,61,20,41,2,12,1,11,2,3,0,3,4,40,13,27,0,0,0,0,3,17,14,3
菊名三丁目,きくな3ちようめ,42,229,98,131,0,0,0,0,0,0,0,0,0,0,0,0,7,41,35,6,1,16,4,12,0,0,0,0,0,0,0,0,0,0,0,0,5,21,8,13,0,0,0,0,14,27,16,11,3,7,3,4,0,0,0,0,7,20,11,9,1,5,2,3,4,92,19,73,0,0,0,0,0,0,0,0
菊名四丁目,きくな4ちようめ,66,1236,438,798,0,0,0,0,0,0,0,0,0,0,0,0,3,17,15,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,12,82,27,55,2,11,2,9,11,53,39,14,1,3,2,1,8,107,54,53,7,20,8,12,5,67,7,60,11,850,269,581,1,9,4,5,4,13,8,5
菊名五丁目,きくな5ちようめ,29,124,63,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,3,6,1,5,0,0,0,0,10,29,17,12,3,10,7,3,3,17,7,10,3,48,21,27,1,2,1,1,3,4,2,2,0,0,0,0,2,5,4,1
菊名六丁目,きくな6ちようめ,145,1784,894,890,0,0,0,0,0,0,0,0,0,0,0,0,11,81,60,21,2,16,14,2,0,0,0,0,0,0,0,0,1,327,244,83,26,267,110,157,7,166,29,137,21,74,46,28,11,54,30,24,14,100,44,56,18,50,18,32,14,176,103,73,14,225,52,173,1,52,36,16,5,196,108,88
菊名七丁目,きくな7ちようめ,75,1404,888,516,0,0,0,0,0,0,0,0,0,0,0,0,4,41,33,8,6,201,173,28,0,0,0,0,4,138,74,64,5,137,124,13,22,407,184,223,1,5,5,0,4,110,92,18,1,24,19,5,7,73,40,33,8,44,17,27,6,150,82,68,3,26,9,17,0,0,0,0,4,48,36,12
岸根町,きしねちよう,83,596,353,203,0,0,0,0,0,0,0,0,0,0,0,0,9,96,79,17,1,6,1,5,0,0,0,0,0,0,0,0,4,71,63,8,19,154,85,69,2,6,4,2,18,40,21,19,1,1,1,0,13,116,49,27,5,32,24,8,2,6,5,1,4,48,4,44,0,0,0,0,5,20,17,3
北新横浜一丁目,きたしんよこはま1ちようめ,60,1095,584,511,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,3,5,47,40,7,0,0,0,0,0,0,0,0,1,13,13,0,24,476,266,210,1,95,82,13,5,11,5,6,1,8,4,4,6,61,23,38,1,30,6,24,1,8,8,0,9,277,87,190,0,0,0,0,5,57,41,16
北新横浜二丁目,きたしんよこはま2ちようめ,32,694,306,388,0,0,0,0,0,0,0,0,0,0,0,0,2,44,38,6,7,226,100,126,0,0,0,0,0,0,0,0,0,0,0,0,8,60,36,24,0,0,0,0,3,53,36,17,1,5,3,2,1,7,0,7,2,49,15,34,0,0,0,0,8,250,78,172,0,0,0,0,0,0,0,0
小机町,こづくえちよう,406,3430,1693,1737,1,3,2,1,0,0,0,0,0,0,0,0,48,264,218,46,19,189,96,93,0,0,0,0,4,7,4,3,12,280,256,24,80,528,282,246,1,23,15,8,116,247,148,99,9,48,27,21,30,181,64,117,27,71,22,49,7,50,16,34,28,1317,386,931,2,24,11,13,21,190,142,48
篠原北一丁目,しのはらきた1ちようめ,74,385,111,274,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,116,20,96,1,13,7,6,7,19,8,11,2,5,2,3,22,75,19,56,12,51,28,23,4,29,4,25,6,51,10,41,0,0,0,0,6,15,6,9
篠原北二丁目,しのはらきた2ちようめ,67,453,268,154,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,1,1,1,0,0,0,0,0,1,144,126,18,0,0,0,0,7,39,28,11,1,6,3,3,14,31,16,15,4,19,11,8,8,58,13,14,5,6,2,4,8,14,2,12,10,103,45,58,0,0,0,0,6,28,18,10
篠原台町,しのはらだいまち,41,241,98,143,0,0,0,0,0,0,0,0,0,0,0,0,4,22,17,5,3,10,4,6,0,0,0,0,1,2,1,1,0,0,0,0,7,26,10,16,2,4,2,2,5,12,4,8,3,10,7,3,1,2,2,0,5,16,9,7,4,109,35,74,2,6,3,3,1,6,2,4,3,16,2,14
篠原町,しのはらちよう,225,2701,1454,1247,0,0,0,0,0,0,0,0,0,0,0,0,20,217,191,26,6,22,17,5,1,4,4,0,5,34,24,10,9,419,379,40,52,745,337,408,3,6,5,1,35,145,92,53,10,40,23,17,29,552,235,317,13,85,23,62,6,47,18,29,21,269,53,216,1,7,2,5,14,109,51,58
篠原西町,しのはらにしちよう,60,330,199,131,0,0,0,0,0,0,0,0,0,0,0,0,4,53,34,19,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,123,83,40,0,0,0,0,7,17,10,7,6,29,21,8,5,20,14,6,2,4,2,2,2,7,6,1,10,60,15,45,0,0,0,0,4,8,5,3
篠原東一丁目,しのはらひがし1ちようめ,36,162,58,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,4,11,3,8,0,0,0,0,12,38,14,24,2,2,2,0,2,27,15,12,3,13,5,8,3,15,2,13,3,39,9,30,0,0,0,0,5,15,7,8
篠原東二丁目,しのはらひがし2ちようめ,36,262,146,116,0,0,0,0,0,0,0,0,0,0,0,0,3,64,61,3,1,11,11,0,0,0,0,0,1,1,0,1,0,0,0,0,4,52,36,16,0,0,0,0,12,17,8,9,3,10,8,2,0,0,0,0,2,6,1,5,3,7,6,1,4,89,12,77,0,0,0,0,3,5,3,2
