#T150102【第95回横浜市統計書】
#第15章　衛生及び環境
#第1表　医療施設
#（2）医療施設の病床数
#資料：健康福祉局 健康安全部 医療安全課
#平成26年10月1日
行政区,病院（総数）,病院（精神病床）,病院（感染症病床）,病院（結核病床）,病院（療養病床）,病院（一般病床）,一般診療所
鶴見区,1716,189,0,0,258,1269,62
神奈川区,1111,252,0,0,240,619,58
西区,674,0,0,0,0,674,41
中区,1401,242,0,0,42,1117,43
南区,1364,90,0,0,113,1161,22
港南区,1587,692,0,0,90,805,70
保土ケ谷区,1855,392,26,0,99,1338,15
旭区,3490,1430,0,0,355,1705,48
磯子区,904,0,0,0,120,784,30
金沢区,2297,90,0,76,178,1953,29
港北区,1438,309,0,0,27,1102,129
緑区,1524,50,0,0,850,624,25
青葉区,2235,120,0,0,358,1757,112
都筑区,957,92,0,0,187,678,136
戸塚区,2989,952,0,0,456,1581,109
栄区,536,106,0,0,0,430,46
泉区,933,0,0,0,362,571,1
瀬谷区,743,441,0,0,110,192,0
総数,27754,5447,26,76,3845,18360,976
