ｘ,住所１,住所２,住所3,住所４
新横浜グレイスホテル,神奈川県,横浜市,港北区,新横浜三丁目6-15
新横浜プリンスホテル,神奈川県,横浜市,港北区,新横浜三丁目4
株式会社横浜アリーナ,神奈川県,横浜市,港北区,新横浜三丁目10
学校法人岩崎学園　横浜医療情報専門学校,神奈川県,横浜市,港北区,新横浜二丁目4-10
学校法人　岩崎学園 横浜デジタルアーツ専門学校,神奈川県,横浜市,港北区,新横浜三丁目22-17
新横浜SKホテル（株式会社坂本興業）,神奈川県,横浜市,港北区,新横浜二丁目2-9
ブライダルステージソシア２１,神奈川県,横浜市,港北区,岸根町6
公益財団法人　横浜北ＹＭＣＡ,神奈川県,横浜市,港北区,菊名六丁目13-57
港北公会堂,神奈川県,横浜市,港北区,大豆戸町26-1
港北スポーツセンター,神奈川県,横浜市,港北区,大豆戸町518-1
日吉地区センター,神奈川県,横浜市,港北区,日吉本町一丁目11-13
綱島地区センター,神奈川県,横浜市,港北区,綱島西一丁目14-26
新田地区センター,神奈川県,横浜市,港北区,新吉田町3236
城郷小机地区センター,神奈川県,横浜市,港北区,小机町2484-4
慶応義塾大学　日吉キャンパス,神奈川県,横浜市,港北区,日吉四丁目1-1
日吉湯,神奈川県,横浜市,港北区,日吉本町四丁目15-9
一の湯,神奈川県,横浜市,港北区,大倉山三丁目2-18
篠原地区センター,神奈川県,横浜市,港北区,篠原東二丁目15-27
菊名地区センター,神奈川県,横浜市,港北区,菊名六丁目18-10
